CROPS,SOIL,SEASON,TEMP,HUMIDITY
Rice,Alluvial soil,Rainy,26.9,73.8
Rice,Loamy soil,Rainy,35.8,60.9
Rice,Clay soil,Rainy,34.9,67.5
Rice,Alluvial soil,Rainy,28.3,73.6
Rice,Loamy soil,Rainy,26.3,60.3
Rice,Clay soil,Rainy,28.3,60.9
Rice,Alluvial soil,Rainy,25.7,70.1
Rice,Loamy soil,Rainy,34.4,73.4
Rice,Clay soil,Rainy,25.1,76.7
Rice,Alluvial soil,Rainy,26.4,73.2
Rice,Loamy soil,Rainy,33.6,62.8
Rice,Clay soil,Rainy,35.3,71.9
Rice,Alluvial soil,Rainy,21.5,61.3
Rice,Loamy soil,Rainy,32.8,60.7
Rice,Clay soil,Rainy,22.8,78.6
Rice,Alluvial soil,Rainy,27.6,68
Rice,Loamy soil,Rainy,27.9,63.4
Rice,Clay soil,Rainy,34.9,79.6
Rice,Alluvial soil,Rainy,28.5,64.3
Rice,Loamy soil,Rainy,37.5,75.7
Rice,Clay soil,Rainy,23.5,65.8
Rice,Alluvial soil,Rainy,28.6,61.9
Rice,Loamy soil,Rainy,34.6,72.5
Rice,Clay soil,Rainy,34.9,79.9
Rice,Alluvial soil,Rainy,26.2,66.3
Rice,Loamy soil,Rainy,31.6,67.2
Rice,Clay soil,Rainy,20.2,69.3
Rice,Alluvial soil,Rainy,32.2,75.5
Rice,Loamy soil,Rainy,37.2,75
Rice,Clay soil,Rainy,31.6,66.3
Rice,Alluvial soil,Rainy,20.9,67.1
Rice,Loamy soil,Rainy,26.9,63.8
Rice,Clay soil,Rainy,30,62.1
Rice,Alluvial soil,Rainy,30.3,69.9
Rice,Loamy soil,Rainy,35.5,60.8
Rice,Clay soil,Rainy,30.8,63.4
Rice,Alluvial soil,Rainy,26.7,75.9
Rice,Loamy soil,Rainy,36.6,67.3
Rice,Clay soil,Rainy,39.2,69.2
Rice,Alluvial soil,Rainy,22.7,67.2
Rice,Loamy soil,Rainy,34.1,78.9
Rice,Clay soil,Rainy,38.3,60.1
Rice,Alluvial soil,Rainy,34.9,67.5
Rice,Loamy soil,Rainy,33.7,75.7
Rice,Clay soil,Rainy,31.7,76.7
Rice,Alluvial soil,Rainy,29.1,67.1
Rice,Loamy soil,Rainy,35.4,75.3
Rice,Clay soil,Rainy,28.2,75.5
Rice,Alluvial soil,Rainy,31.1,75.1
Rice,Loamy soil,Rainy,29.1,65.5
Rice,Clay soil,Rainy,25.1,70.3
Rice,Alluvial soil,Rainy,39.5,75.7
Rice,Loamy soil,Rainy,36.7,61.2
Rice,Clay soil,Rainy,20.2,72.8
Rice,Alluvial soil,Rainy,35.7,60.2
Rice,Loamy soil,Rainy,29.6,68.9
Rice,Clay soil,Rainy,38.3,63.7
Rice,Alluvial soil,Rainy,25.3,60.6
Rice,Loamy soil,Rainy,38.3,64.9
Rice,Clay soil,Rainy,32.1,71
Rice,Alluvial soil,Rainy,39.5,74.2
Rice,Loamy soil,Rainy,25.6,71.5
Rice,Clay soil,Rainy,31.4,77.1
Rice,Alluvial soil,Rainy,32.5,72.9
Rice,Loamy soil,Rainy,27.2,67.8
Rice,Clay soil,Rainy,39.3,74.3
Rice,Alluvial soil,Rainy,26,68.7
Rice,Loamy soil,Rainy,22,77.2
Rice,Clay soil,Rainy,25.4,68.1
Rice,Alluvial soil,Rainy,26.3,68.6
Rice,Loamy soil,Rainy,27.1,62.1
Rice,Clay soil,Rainy,34,78.8
Rice,Alluvial soil,Rainy,36.4,73.5
Rice,Loamy soil,Rainy,31.4,60.4
Rice,Clay soil,Rainy,26,68.5
Rice,Alluvial soil,Rainy,31.6,60.7
Rice,Loamy soil,Rainy,23.1,73.3
Rice,Clay soil,Rainy,25.4,69.6
Rice,Alluvial soil,Rainy,30.5,71.8
Rice,Loamy soil,Rainy,39.8,77.2
Rice,Clay soil,Rainy,38.8,72.4
Rice,Alluvial soil,Rainy,39.9,61.7
Rice,Loamy soil,Rainy,35.2,67.2
Rice,Clay soil,Rainy,33.8,73
Rice,Alluvial soil,Rainy,35.8,72
Rice,Loamy soil,Rainy,28.3,67.6
Rice,Clay soil,Rainy,29.6,64.6
Rice,Alluvial soil,Rainy,20.5,63.4
Rice,Loamy soil,Rainy,37.9,74.6
Rice,Clay soil,Rainy,39,69.4
Rice,Alluvial soil,Rainy,33.4,73.1
Rice,Loamy soil,Rainy,34.1,78.6
Rice,Clay soil,Rainy,33.4,78.7
Rice,Alluvial soil,Rainy,27,74.5
Rice,Loamy soil,Rainy,31.8,68.5
Rice,Clay soil,Rainy,39.8,72.6
Rice,Alluvial soil,Rainy,27.1,75.3
Rice,Loamy soil,Rainy,39,63.8
Rice,Clay soil,Rainy,30.8,62.3
Rice,Alluvial soil,Rainy,25.7,70.3
Rice,Loamy soil,Rainy,31.3,76.1
Rice,Clay soil,Rainy,20.4,62.6
Rice,Alluvial soil,Rainy,30,66.8
Rice,Loamy soil,Rainy,21.1,78.5
Rice,Clay soil,Rainy,26.2,67.8
Rice,Alluvial soil,Rainy,22.8,69.8
